"C-type lectin receptor signaling pathway","CFTR_interactor","Cytokine-cytokine receptor interaction","Cytosolic DNA-sensing pathway","dorothea_tf","Estrogen signaling pathway","IL-17 signaling pathway","name","NF-kappa B signaling pathway","NOD-like receptor signaling pathway","Node_type","Osteoclast differentiation","pathway","receptor","receptor_ligand","Regulation of actin cytoskeleton","RIG-I-like receptor signaling pathway","selected","shared name","sum","T cell receptor signaling pathway","Th17 cell differentiation","TNF signaling pathway","Toll-like receptor signaling pathway","Viral protein interaction with cytokine and cytokine receptor"
"1","NA","0","0","false","0","0","CLEC7A","0","0","Receptor","0","C-type lectin receptor signaling pathway","true","false","0","0","false","CLEC7A","1","0","0","0","0","0"
"1","NA","0","0","false","1","0","PRKCD","0","1","Protein","0","NA","false","false","0","0","false","PRKCD","3","0","0","0","0","0"
"0","NA","0","0","false","1","0","GRM1","0","0","Receptor","0","Estrogen signaling pathway","true","false","0","0","false","GRM1","1","0","0","0","0","0"
"1","NA","0","0","false","1","0","ITPR1","0","1","Receptor","0","NA","true","false","0","0","false","ITPR1","3","0","0","0","0","0"
"0","NA","0","1","false","0","0","RIPK1","1","0","Protein","0","NA","false","false","0","0","false","RIPK1","4","0","0","1","1","0"
"0","NA","0","0","false","0","0","TLR4","1","1","Receptor","0","NA","true","false","0","0","false","TLR4","3","0","0","0","1","0"
"0","NA","0","0","false","0","0","TICAM2","0","0","Protein","0","Toll-like receptor signaling pathway","false","false","0","0","false","TICAM2","1","0","0","0","1","0"
"0","NA","0","0","true","0","0","PIN1","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","PIN1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","TICAM1","0","1","Protein","0","NA","false","false","0","0","false","TICAM1","2","0","0","0","1","0"
"0","NA","0","1","true","0","0","IRF3","0","1","End point - TF","0","NA","false","false","0","1","false","IRF3","4","0","0","0","1","0"
"0","NA","0","0","false","0","0","MYD88","0","1","Protein","0","NA","false","false","0","0","false","MYD88","2","0","0","0","1","0"
"0","NA","0","1","false","0","0","RIPK3","0","1","Protein","0","NA","false","false","0","0","false","RIPK3","3","0","0","1","0","0"
"0","NA","1","0","false","0","0","IL16","0","0","Receptor Ligand","0","Cytokine-cytokine receptor interaction","false","true","0","0","false","IL16","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","WASL","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","WASL","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","GIT1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","GIT1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","ARPC5","0","0","End point - Regulation of actin cytoskeleton","0","Regulation of actin cytoskeleton","false","false","1","0","false","ARPC5","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","DDX3X","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","DDX3X","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","DOCK1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","DOCK1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","FHL2","0","0","Protein","1","Osteoclast differentiation","false","false","0","0","false","FHL2","1","0","0","0","0","0"
"0","NA","0","1","false","0","1","TBK1","0","1","Protein","0","NA","false","false","0","1","false","TBK1","4","0","0","0","0","0"
"0","NA","0","0","false","0","0","MAP2K7","0","0","Protein","1","NA","false","false","0","0","false","MAP2K7","4","1","0","1","1","0"
"0","NA","0","0","false","0","0","TRIM25","1","0","Protein","0","NA","false","false","0","1","false","TRIM25","2","0","0","0","0","0"
"1","NA","0","0","false","0","0","MAPK8","0","1","Protein","1","NA","false","false","0","1","false","MAPK8","8","1","1","1","1","0"
"1","NA","0","0","false","1","0","CALML6","0","0","Protein","0","NA","false","false","0","0","false","CALML6","2","0","0","0","0","0"
"0","NA","0","1","false","0","0","CASP1","0","1","End point - Caspases","0","NA","false","false","0","0","false","CASP1","2","0","0","0","0","0"
"0","NA","1","0","false","0","0","TNFSF11","1","0","Receptor Ligand","1","NA","false","true","0","0","false","TNFSF11","3","0","0","0","0","0"
"0","NA","1","0","false","0","0","TNFRSF11A","1","0","Receptor","1","NA","true","false","0","0","false","TNFRSF11A","3","0","0","0","0","0"
"0","NA","0","0","false","0","0","CASP7","0","0","End point - Caspases","0","TNF signaling pathway","false","false","0","0","false","CASP7","1","0","0","1","0","0"
"0","NA","0","1","false","0","0","AIM2","0","1","Protein","0","NA","false","false","0","0","false","AIM2","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","TLR1","0","0","Receptor","0","Toll-like receptor signaling pathway","true","false","0","0","false","TLR1","1","0","0","0","1","0"
"1","NA","0","1","false","0","0","PYCARD","0","1","Protein","0","NA","false","false","0","0","false","PYCARD","3","0","0","0","0","0"
